id,name,column3,zip,country,city,state,address,longitude,latitude,type,subtype,engineer
1-JWVNLOL,RK ELECTRICALS,RK ELECTRICALS,110039,India,North Delhi,DELHI,H NO 384 NR SAMADHI WALI GALI BARWALA - 110039,77.0164,28.6665,SC,ESC,5
1-4BGY,Global Power Link,Global Power Link,110095,India,Delhi East,DELHI,"207,Chetak Complex ,5 L.S.C.,Pocket -B&E Market Dilshad Garden",77.315212,28.684276,SC,ASC,3
1-I4S0B0,HOME CARE SOLUTION,HOME CARE SOLUTION,110044,India,New Delhi South,DELHI,B 147 Pul Pehlad Pur Near Shiv Mandir New Delhi-110044,77.2879,28.4995,SC,ESC,3
1-4BGW,DSC Delhi,DSC Delhi,110028,India,New Delhi West,DELHI,C-156 G Floor Naraina Industerial area Phase 1 Near Hyunday show room,77.1386441,28.6220547,SC,DSC,30
1-4BH1,Muskan Service,Muskan Service,110094,India,Delhi East,DELHI,"D-3, Chaudhary Bali Market, Main Karawal Nagar Road, Nehru Vihar, Delhi - 110094",77.276944,28.725556,SC,ESC,7
1-JPILV86,STAR WORLD SERVICES,STAR WORLD SERVICES,110059,India,New Delhi West,DELHI,R-2 old uttam nagar near metro piller no 690 new,77.0613266,28.6212718,SC,ESC,5
1-4BH0,Kay Gee Aircondition And Refrigeration,Kay Gee Aircondition And Refrigeration,110015,India,New Delhi West,DELHI,"b-98 , double story , ramesh ngr",77.132697,28.648224,SC,ESC,8
1-JWQ3LQT,HI-TECH AIRCONDITIONER,HI-TECH AIRCONDITIONER,110041,India,New Delhi West,DELHI,WRZQ-61A GROUND FLOOR KH NO 36/9,77.069034,28.654694,SC,ESC,5
1-9OSBR1,COOL INDIA EXPERT,COOL INDIA EXPERT,110092,India,Delhi East,DELHI,C-79 SHOP NO-2 GALI-4 GANESH NAGAR PANDAV NAGAR COMPLEX DELHI-110092,77.23,28.61,SC,ASC,1
